회차	댓글
33	경찰이 하나하나 전화받고 사사건건 길게물어보고 늦게출동해서 피해자많이생기는거 안다. 그건 물론잘못됬다근데 처음부터그랬을까? 경찰이 도움의목적이아니라 장난으목적으로 장난전화가 자주오게되면서 경찰이 출동한게 얼마나많을거같냐? 경찰이 일부로사사건건묻는게아냐 오기싫어서그러는게아냐 한번이라도 장난전화 한적있는얘들은 이글보고반성해라 시민의식부터 달라져야한다
33	진성이 멋있다❤
33	막짤좀치워주셔요ㅜ..
33	강남건물주 극혐
33	하늘이 언급 아무도 안하네.. 돼지 형석이한테 인식도 바뀐거 같고 파프리카 번돈으로 강남건물주 아버지한테 다드렸다는데ㅋㅋ첨엔 봤을때 싼여자라고 봤는데 볼수록 착한애인거 같다.
33	저 또한 편의점 강도 건으로 신고 했을때 피해자인 제가 신고를 했는데 피해자의 심리 상태는 고려안하고 범인 인상착의. 여기 까진 이해 합니다 한시라도 빨리 범인을 잡기위해 그랬겠죠 하지만 자세한 사건 경의는 출동하고 피해자한테 물어야 하는게 정상아닌가요 와서도 경찰끼리 대화가 안맞는지 몇번이나 피해 사실을 말했어야 했는데 말하는것이 문제가 아니라, 피해자임을 충분히 인지 하고 있는 상태고 사건을 당한지 얼마안된 피해자에게 몇번이나 되묻는건 더한 트라우마와 그 기억을 다시 떠올려 자세하게 말하는 자체가 무리입니다 강도사건인 저도 힘들었는데 성폭행 사건은 경찰들이 오죽 하겠습니까 실질적으로 경찰의 시스템이 바뀌어야 되겠다는 생각이 더 드네요 못골 놀이터 이후 신고받는 경찰의 수도 늘고, 신고 즉시 출동하게 바뀌었다고는 하지만 글쎄요 전 올해 일이였는데 바뀐건 없었습니다. 신고전화로 피해사실을 묻는것 보단 저런 전화가 왔을때 빨리 위치파악해서 범인을 잡는게 더 효율적인걸 모르는 걸까요?
33	지금 도배하는분 중요한 얘긴건 알겠는데 그렇게 도배하면 역효과에요.........
33	바스코...극복했다는게...그런일이있었던거였냐ㅠㅠㅠㅠㅠㅠ존나강하다우리바스코!!!!!!!!!
33	나는 극복 했다. 이 대사의 의미를 오늘 알았군. 마음아파 잠이안와.
33	선단 공포증있었는대 칼 저렇게 잡는거보면 바스코가 대단하다 느껴진다
34	으 저런새끼들 극혐
34	첫번째컷 구름모양이 강남건물주 닮았다고 생각하는건 나뿐인가..??
34	저 여자 강남건물주한테 소개시켜줘라
34	베댓(인카)님 그럼 권투준우승자인 진성이는 왜 친구들이랑 같이 술마시고 주인공개패듯이 패는 악질적인 모습을 보였습니까? 도장에서 열심히 권투해도 모자랄판에 여자한테 잘보일생각만 하고... 님말대로라면 진성이도 거기ㅏ에 그대로 적용되는겁니다.
34	인카님 진성이도 양아친대요 ㅡㅡㅋ
34	권투우승자라도 양아치는있다 우승하니까 다 제발아래로보이니 양어치짓하는거임
34	사기치는새끼는 사형이답
34	콩밥먹어야 정신차리지
34	난 베댓의 말을 이해하지 못했다
34	베댓..아마추어보다 못하다니...한국권투는 아마추어가 더 급이 높은데..생활체육보다 못하다해야지
34	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 베뎃 진성이도뭐 운동하는모습은 안보여줬는데요뭐
34	인카가대체어딧는데? 인카가모여 인글리쉬카페냐?
34	인카가 누구
34	인카 저번에 강해효에서 베댓조작하더니 여기선 안하나보내
34	? 인카
35	재열이막컷굳
35	마지막컷 뭐냐 설레게
35	오늘도 바스코는 츤데레오지구여
35	님들 실전에서 유도가 이렇게 쳐발리진 않습니다
35	재열이 마지막컷 설랜다...
35	칼업뎃에 베인사람 손
35	외모지상주의는 사랑입니다 ♥
35	재열이존잘♥
35	작가양반 11시7분이야 정신차려요!!!!
35	갓재열
35	아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ재열이.....♡ 부릉부릉 오빠달려
35	셋이같이있으니머싯다
35	막컷 존잘이다..
35	내가 세상에서 가장 빨리 댓글 단 시간..
35	우왁!
36	솔직히 오늘 싸워서 개털줄알앗다 손
36	진성이 털림☞바스코털림☞박형석털림☞재열이가 다텀
36	왜안싸우는건데
36	와 진성이처맞는거봐 ㄷ ㄷ
36	솔직히 진성이돈이니까 진성이가 이번화에서는 약간 주인공삘로 저 우진이라는 애랑 붙고 박형석이 태권도하는애랑 붙고 바스코는 힘이니까 그 유도했다는 애랑 붙는게 맞을듯
36	옄시나빨라크크 뜨겁다뜨끈
36	근데 하늘이는 형석이 걱정안되나봐? 유이랑 미진이는 진성이 걱정되서 따라왔는데...ㅎ 너무 비중없는건지 걱정이안되는건지 모르겠다 ㅋㅋㅋ
36	아니야.. 이건 영화말고 드라마로 나와야해.. 오래봐야하거든..
36	제논 님 글 내려주셈 하늘이는 형석이변하지않을때를좋아하게됨
36	진성이털리고 바스코털리고 형석이털리고 재열이가다패버린다는건 뭔가이상함 쟤네가 싸우고있는데 우진이네가밀리니까 아까갔던후배들이다시와서 끼어드는데 그때재열이가끼는편이스토리상더재밌을듯.
36	제논님 그림 그리는건 작가입니다ㅋㅋㅋㅋ 캐릭터에 너무 감정있으시네요ㅋㅋㅋㅋㅋㅋㅋ
36	제논인 이해력이 딸리는듯.ㅋㅋㅋㅋㅋㅋㅋ
36	제논님 걱정되서 따라온거 아닌데요 제대로 읽고 베댓 되시길
36	제논이가 잘못했네 그치?
36	제논님 하늘이랑 형석이 건들지 마시죠. .
37	지금 이 시간에 들어온 내손이 자랑스럽다
37	캬 진성이 원펀치 장인 손 한번쓰니까 다끝나네 ㅋㅋㅋ
37	아...심쿵...개머싯어...
37	오토바이 소리날때 나만 재열이 오는줄 알음 ?
37	그냥 눌렀는데 업되있었다 손ㅋㅋㅋㅋㅋㅋㅋㅋ
37	재열아 ㅠㅠ 부릉부릉 폼잡더니 다끝날기센데... 불쌍해 ㅋㅋㅋㅋ
37	역시칼업뎃
37	저희반에 이거보고 싸울때 명치를 세게 후리라면서 말하는 남자아이가있었어요 근데 실제로 명치세게후리다가 진짜 큰일날수있습니다 진짜 안그러시겠지만 혹시나 잘못알고계시는분 계실수도있으니까 말씀드리는거입니다 진짜 이거는 만화지만 실제로는 행동에 생각을 가지시고 실제로는 하지않길 추천해드려요 장난으로하는애들도 많길래 제가 깜짝놀랐지말입니다 그럼 조심하세요
37	나이스!!!!!!!!!
37	역시 진성이 ^
37	헐
37	이게 만화여서 멋있게 보이지만 여자친구가 근처에 있을때는 하지 맙시다 여자친구가 걱정합니다 설령이기더라두 여자분은 매우 놀라게됨니다 설령시비가 붙더라두 꼬리를내리고 여자를 안전하게 피하게하는것이 더 멋있는 남자라고 전생각합니다
37	잠깐 고1???
37	범재 금연 중이랍니다(뜬금포)
37	괴물집단이랬으면서 후반부엔 개 x밥들 ㅜㅜ
38	나도모르게 금연웹툰의 스포를 당한것같아.
38	ㅋㅋㄱㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱ작가님은근슬쩍금연권장하심 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
38	이쯤되면 작가님 웹툰이 목요웹툰인지 금요웹툰인지 헷갈리기 시작한다ㅋㅋㅋㅋ
38	왜 아무도 범재가 바스코한테 설치한게 연인커플 앱이라는걸 언급하지 않지? ㅋㅋ 난 그부분에서 뿜었는데 나만 그런가ㅋㅋ?
38	형석이 24시간 공부가능ㅋㅋ
38	작가님 ㅋㅋ 밑천이라뇨~ 초심잃지도않으시고 열씸히하는모습 너무좋습니다 지금까지 너무재밌는데요 이대로만 쭉가면 너무재밌겠음ㅋㅋ 앞으로도 힘내시고 무리하지마세용~
38	칼업뎃에 베인사람 손
38	바스코 여친한테 진짜 잘 할듯ㅠㅠ
38	시험볼때 공감○○○●○ ○○○●○ ○○○●○ ○○○●○ ○○○●○ 먼가 이상한데..
38	여긴 시험이 다가오지만 우리에겐 개학이 다가오지...
38	ㅋㅋㅋ 빠진이빨은 어떻게됨??
38	훅맞을때 순간 뭉크의 절규가 떠올랐다...
38	스포 완벽히 당했네....
38	범재가 나빳네 GPS를 달다니...무슨 바스코가 어린이야!!?
38	금연웹툰에서 사람들이 스포스포 거리길래 와본사람 손
39	재열이 1등일줄몰랐다 손들어라
39	그래도 하늘이 착하네.. 인성갑이다..
39	재열이 끄덕끄덕귀엽ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39	하늘이가 두명의형석이를 같이 좋아하게됐다는건 히로인은 하늘이로 결정난거같네요 ㅋㅋㅋㅋ
39	재열이 팬인사람 손
39	역시 변함없는 칼업뎃
39	아무래도 형석이가 가진두개의몸은 서로같은거 같습니다. 그러니까 밤에사용하는 뚱뚱한육체를 살빼고 키크게하려고 노력한다면 낮에사용하는 몸과 같은모습이 된다는거죠. 딱히 근거는 없지만 그럴것같습니다. 첫배댓 가보고 싶다~
39	새로고침 500번 누르신분
39	재열이가 형석이 비빌을 알게되면 어뜩하냐?????
39	빠르네....
39	다음주에 저기서 이름물어보면 어뜩하냐ㅋㅋㅋㅋㅋㅋ
39	아 오타나왔다 비밀을 비빌이라썼네
39	성환님 베댓3개나 어떻게하셨어요? ㅋㅋㅋㅋㅋㅋ
39	헐 브이앱 방탄
39	우와아아아아 님들 아직 '극'초반이래요!!!!
40	이제는 뚱뚱한 형석이가 주인공일것 같다 손
40	일주일동안 기달리기 너무 힘들다 손
40	40회까지 보면서 처음으로 맘에 드는 화였다.전하고자 하는 메시지도 좋았고 전달 방법도 좋았다. 이런 메시지는 자칫했다가는 내용도 난해해지고 본인의 개똥철학이 섞일 수 있었는데 그림도 문체도 결말도 간결해서 깔끔하게 잘 이끌고 마무리 지은 느낌이다. 앞으로도 이 정도만 해주길.
40	계속 새로고침한사람 손
40	외모지상주의보겠다고11시부터새로고침한1인공감되면 누르고가
40	새로고침 누루자마자 뜸 개이득 그와중에 재열이 존잘ㅎ
40	진짜빠르시네요..금요일날 기다리시나요 작가님
40	재열이가 여자라고하기엔 쌈을 너무잘하지않나요 ㅋ?
40	일주일 동안 이 웹툰만 기다렸다 손!!!!!
40	눌렀는데 나왔어... 대박 이런기분이구나
40	배댓인 바람조님 재열이가 여자일거같다고 하시는추측은 틀린거같네요 몸이2개면 1개가 형석이랑같이 뚱뚱한모습.완벽한모습일텐데 재열이는완벽한모습인데 ㄱㅅ이없잖아요
40	근데 저기 실업계 아님? 딱히 반장이 불쌍해보이진 않는데
40	마지막 베뎃 그나마는 왜 붙이는거야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
40	반장은 공부만 하면 페션과에 왜 온겨
40	오늘거 보고 시험지 보러 온사람?
41	똥군기잡으며 진짜 교관인냥 행세하는거 극혐.. 수련회 존재 이유를 모르겠다. 돈주고 벌받으러가야하냐
41	프리드로우 재호랑 덕진이잖앜ㅋㅋ
41	재열이 이쯤되면 형석이 코디ㅋ
41	수련회 교관들의 특징1. 입소식 할때 - 우리는 2박 3일동안 너희가 어떻게 하느냐에 따라 천사가 될 수도 있고 악마가 될 수도 있습니다. 2. 군기 잡을 때 - PT체조 20회 실시 마지막 구호는 하지 않습니다. 3. 무슨 구호 말할 때 - (학교 이름 외치며)XX 학교!! 목소리가 이것 밖에 됩니까!! 4. 심각한 분위기에서 가오 잡을 때 - 여태까지 이 수련원에 온 학교들중 XX학생들이 가장 형편 없습니다. 5. 소지품검사 할 때 - 이중에서 말로만 검사한다 하겠지 라고 생학하는 학생 분명히 있는데, 진짜로 검사합니다. 6. 5번 다음에 - 그렇지만 우리는 여러분을 믿기 때문에 검사는 하지 않도록 하겠습니다. 7. 점호시간에 시끄러울 때 - 방장 나와 8. 레크레이션 할 때 - X반 500점!! (점수는 체크 안함) 9. 마지막 퇴소식 때 - () 아무말 없이 훈훈하게 웃어주며 손 흔들어줌)
41	잘난사람이랑 비교하는거 극혐;
41	새로고침만 눌린사람 손들어라
41	다음 편: 태성이 나와서 펀치 기록 깸
41	와 개빨리 나왔네
41	작가양반 지금11시13분이오
41	기다렸어요..작가님
41	솔직히 수련회는 진짜 왜 가는지 모르겠다ㅋㅋㅋㅋ 수학여행처럼 놀러가서 학창시절 추억 하나 더 만드는게 낫다. 수련회가봤자 일주일 지나면 힘든거 다 까먹는데ㅋㅋ
41	옆동네 프리드로우보고 온사람 좋아요눌러라
41	프리드로우 보고 다시 찾아왔다 ㅋㅋㅋㅋ
41	프리드로우 수학여행(2)편 보고온사람
41	프리드로우 보고 미래에서 과거로오신분손ㅋㅋㅋ
42	제우스가 한거같다 개삘이다
42	솔직히 저런거 사진 유포하는사람들 정말 실은거 인정하는사람 조용히 누르자
42	작가님~ 생신 축하드리고 앞으로도 외모지상주의 그리시면서 무리 안 하시길 바래요!!
42	형석 존잘재열 존멋 바스코 존간지
42	뭔가 제우스가 했는데 원빈이 누명쓸거같은 느낌이다
42	바스코: 왜 내 방엔 아무도 안오냐....(주륵)
42	오늘 작가님 생신입니다♥♥♥♥♥작가님 Love you♥♥ 생신 축하 드려욥♥♥
42	아직 12시 안넘었죠!! 오늘은 작가님 생신이에요! (페북에 글 올리셨어용ㅎ) 작가님 생신 축하드려요!! 다같이 쫗아요로 이글 베댓 올려주세요!!
42	아직 11시 10분이에요ㅋㅋㅋㅋㄱㅋㅋㅋ 진짜 업뎃 빨라bb
42	아르바이트생 범인인가?
42	딱 봐도 범인 교관인 듯
42	신화에 따르면 제우스는 음흉하고 여자를좋아하며 바람을 잘핀다는 신화가잇음
42	욕할꺼면 꺼져 이만화 1컷도 못그리는 새끼들아
42	늦었지만 베댓 올려주세요 어차피 지금 다음화 새로 올라올 거니깐ㅋㅋ 누가 못생긴 교관한테 걸려서 원빈이 한거라고 생각하는데 그건 춤춘 여자들하고 남자3명방이고요 아까 형석이네방도 걸렸으니 그건 제우스일겁니다. 유이가 뻗은거 사진과 미진이 사진은 방에 CCTV를 몰래 설치해서 도촬한것같습니다. 미진이네 방에 애들이 모여서 논거니까 충분히 가능하죠.그리고 춤추는것은 그냥 사진으로 몰래 찍은거니 가능하죠.
42	이 만화 제목이 외모지상주의니까 잘생긴 제우스가 유포한 사진을 못생긴 원빈이 했다고 누명쓰고 비난받을듯
43	저 원빈이라는 지도사 아이들을 지켜줘야하는데 할때 진짜 찡했다
43	강남건물주 동생
43	제우스일줄알았다 손
43	저번에 교관이 범인일거라고 했던 베댓 나와잘했어
43	바스코: 내가 다 봤다 혼내준다.
43	최소강남건물주
43	제우스 1초 강남건물주
43	아 극혐
43	오늘도 본능적으로 칼업뎃 되었을 외모지상주의를 누르고 여전히 잘생긴 형석이를 감상한다
43	또 형석이로돌아와서 지켜주로 오겠지 군대가요베뎃좀요
43	우리나라 외모지상주의 국가라서 되게 안쓰럽다.착한사람도 오해받아서 차별받는 세상에 잘생긴 얼굴에 그 값도 못 치르는 사람들은 도대체 왜 그러는지 이해 안 가고, 배댓님 처럼 "아이들은 내가 지켜줘야 하는데" 라는 부분이 되게 찡했다, 외모로 평가하는 사람보단 선악으로 평가하는 사람이 많아졌음 하는데 왜 그게 안 돼는 걸까. 누군가를 지켜주기 위해 뛰어든 다는 의미지만, 못생기고 뚱뚱하다는 이유가 우리 나라에서 유일하게 착한 사람을 죽게 만드는 것 같다. 나라를 살리려면 우선으로 선행해야 할 것이 외모로 판단하는 걸 없애야 한다고 생각하는데 .. 이 글에 공감이 되고 안 돼고 란 것이 문제가 아니라, 제일 하고싶은 말은 작가님이 이 웹툰을 만들어주신 것이 나에겐 큰 생각을 주신 것 같다. 항상 감사하고 너무 스토리에 집중하셔서 아프지 마세요 ! 우리나라 외모지상주의 작가님의 웹툰으로 사라지길 바랍니다 !
43	아무튼 얼굴보고판단하지맙시다만날때 먼저 얼굴부터보게되지만 못생겻다 뚱뚱하다란이유때문에 그사람을오해하고 싫어하는것은 옳지않다는걸모르는사람이없겟죠 하지만 무의식적으로 생각하게되는건어쩔 수 없으니 행동으로라도 친절하게 더착하게대해주는게 친구들과 주변사람들의 관계 또 우리나라가 좀더 행복해질 수 잇는 방법입니다.
43	제우스교관 = 김희민 = 기안84 본명
43	배댓들말은저렇게하지만 마음보단 얼굴이 이쁜마누라얻고싶겠지
43	이진성 : 나만 건드려야했어...!!이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!! 이진성 : 나만 건드려야했어...!!
44	진성이눈돌아갓으니이젠 재 큰낫네
44	원빈교관님이 제일불쌍하네요.. 오늘 화에선 원빈교관님이 제일 빛나야되는데 진성이가 더언급되는지 이유를모르겟네요.. 조연좀알아봐주세요
44	아 극혐
44	여러분 우리는 이 만화의 제목이 '외모지상주의'임을 잊지 말아야 합니다. 작가님이 제우스의 어린 시절을 보여주신 것도 그때문이죠. 물론 제우스(희민이)가 잘했다는 얘기는 아니지만, 어린아이가 뭘 알겠습니까? 그런데 잘생겼다고 자꾸 편들어주는 외모지상주의로 희민이의 사상이 바뀌었습니다. 안좋은 방향으로요. 물론 너무나 극단적인 예일 수도 있습니다. 하지만 작가님이 우리에게 전달하고자 하는 바가(작가님의 의도를 제 마음대로 추측해선 안되겠지만) 만화의 제목에서 알 수 있듯이 '외모지상주의의 문제점'임을 잊지 않토록 합시다. 잘생기고 예쁜 학생들 얼굴 구경하고 싸움 구경하는 것이 주 목적이 되어선 안된다구요.
44	원빈교관 학생지키려는태도..진짜원빈보다 멋있었다이와중에 진성이늦게오진 진성이타이밍 구지다 원빈교관걍쓰러져있지 왜나댓냐하는애들 이해가안갈뿐이다 진짜 저상황이일어낫으면 원빈교관처럼 이빨다부러져가면서 저렇게할수있을지 생각해보고 댓글답시다ㅜ 이번화에 포인트는 진성이가눈이돌아간게아니고 원빈교관의 부상에도 아이를지키려고하는 모습인거같네요
44	아 진짜; 이거보고 흥분된다는 애들은 진짜 니네 다 잠재적 성폭행 범죄자들인거야 댓글을쓰려면 생각을 갖고 쓰던가 나도 남잔데... 아니 남자를 떠나서 사람이 저렇게 완강하게 싫다하면 심각하게 받아들여야지 이거보고 흥분되니 원본달라니 하는애들은 진짜 생각없이 댓글다는거냐; 야동에선 싫다하다가 계속하면 여자가 앵기것지만 실제는 아니다 제발 헛소리라도 가려서좀해라 댓글눈팅하다가 심각한글 몇개보여서 진지충좀 해봄
44	야한옷입는게성폭행의원인이된다는건개소리다
44	보는 내내 미진이 입장이 무서워 울 뻔했다
44	작가님에게 하고싶은말이 있습니다. 이 만화가 애초 외모지상주의를 비판하는것에 초점을 두고 이야기를 전개하는 것을 알고있습니다. 그런데 잘 생겼던 교관도 범죄를 저지를땐 못생긴 얼굴로 바뀌어 버립니다.또한 이전 "강남건물주"라는 등장인물도 내용상 범죄와 악에 관련된 케릭터였고 그 케릭터도 결국 사람들이 보통 못생기고 혐오스럽다 라고 생각이 들도록 하는 모습으로 묘사하셨습니다. 이것 자체가 못생긴얼굴=범죄자라는 관념이 자리잡혀 결국 또 다른 외모차별적인 관념을 만들어 낼 것이아닐까?라는 생각이 들었습니다.또한 이러한 요소가 외모지상주의에 악순환의 연장선일 것입니다. 범죄를 지을때도 있는 그대로의 모습으로 그려주셔야 외모지상주의를 꼬집으려는 작가님의 의도에 반하지 않을 것 같다는 생각이 들어 서 저의 의견을 적어보았습니다. 앞으로 더 유익하고 재밌는 만화가 되길 바라며 작가님 항상 응원 하겠습니다. 재미있는 만화 그려주셔서 감사합니다. 꾸벅~
44	진지하게성폭행장면보면서 흥분되면 상담받아야됨 댓글수준이 이정도구나.. 극혐이고 실망이다 초중고딩들 다꼴도보기 싫어진다 몇몇 무뇌충 관종들때문에...
44	오늘도 칼업뎃 감사합니다♥
44	악역을 혐오스러운 얼굴로 묘사하지 말라는 배댓에 동의할 수 없다. 잘생기고 온화한 얼굴로 여고생을 성폭행하는 그림을 그리라는 건가? 그럼 야망가랑 뭐가 다름? 생각보다 많은 사람들이 성폭행을 폭행이라고 생각치 않음. 누군가 당했다는 뉴스를 보면 '여자가 여지를 줬겠지', '여자가 꽃뱀 아니냐' 하는 말이 심심치 않게 나옴. 성폭행 하나로는 그 혐오스러움을 모두 표현할 수 없음. 하지만 성폭행에 혐오스러운 가해자의 외관을 더하면 인식이 달라짐. 파프리카 에피에서 나온 강남건물주 역시 뉴스에 나온다고 하면 '여자 BJ가 꽃뱀이네' 소리 들을만한 일이었음. 하지만 그 에피에서 반응 어땠음? 큰일당한 하늘이 동정하는 여론이 컸음. 인간으로서 해서는 안 될 짓을 하는 행위자를 혐오스럽게 묘사하는 게 왜 문제가 됨? 강남건물주야 원 비주얼도 혐이었지만, 김희민은 '잘생겼다'를 전제가 이미 깔린 인물임. 성폭행 시도하면서 혐오스럽게 변하는 이유는 생긴 거랑 별개로 혐오스러운 행위를 하기 때문임.
44	절대 안됩니다!! 그런 장면을 예쁘거나 멋있는 얼굴로 그린다면 그런 범죄 장면을 미화하는게 되어버리고, 매체를 걸러서 이해하기 힘든 어린 청소년들이 있는 그대로 받아들이기 때문에 성폭행과 같은 성범죄가 괜찮아보이는 등의 큰 착각과 혼란에 빠지게 됩니다. 작가님이 다 그런것까지 계산하고 그리시는 작품입니다. 아무리 고운 얼굴을 가진 사람일지라도 추악하고 더러운 짓을 할때는 모습이 결코 절대 아름답지 못합니다. 마지막 베댓은 거꾸로 생각하고 계시네요.
44	초등6년 중3아들을둔 아빠입니다 작가님 웹튠을 약20화정도될때 아들에게 추천받아 잘보고 있습니다 ,, 요즘보기드문 섬세한 내용 ,,기발한 발상들을 보고 기쁜마음으로 보고있습니다 ,, 하나 최근 내용들이 성폭력 가슴만지고 싶다 등의내용들이 제마음을 많이 불안하고 당혹감을 감출수없게 만드내요 19금을 걸어야 하는건지 어째야 하는건지 저에게 좋은 해답을주세요
44	이번화는 진성이보다 시간을 끌어준 원빈이 더멋진건 나뿐?
45	그래도 원빈 저사람 다쳤는데도 진성이구하려는거 보고찡했다
45	강남건물주가 나와서 당황
45	원빈교관 애들지키겠다는맘하나는진짜멋잇다얼굴로사람판단말자
45	강남건물주는 오늘도 극혐입니다
45	진성이 이제 사람볼줄아네..원빈교관한테 꾸벅 인사하는거보고 등장인물들 성장하면서 외모지상주의 벗어나는걸느낌^^덕화 인기생긴거부터 하늘이가 돼지형석이 좋아한거랑 보면...멋지지않나요??
45	가..강남건물주같은데...?
45	강남건물주 본때를 보여줘!!!!
45	원빈같은사람이 진정한 스타다
45	오늘 무엇보다 원빈 교관님께서 아주 큰 역할을 하셨습니다. 하지만 학생들의 외모지상주의때문에 원빈 교관님께서 저런 말을 들어야 한다는게 이해가 안됩니다. 우리나라는 대체 언제부터 이렇게 된거죠?학생들이 제우스가 미진이보고 웃는 모습을 봤다면 아무말도 못했을것 같습니다. 또한 강남건물주,이 사람은 외모때문에 차별받고있다고 생각하겠지만 오히려 그렇게 생각하는 자신이 외모지상주의의 노예가 되어있다고 볼 수 있겠네요. 그리고 진성이...진성이가 처음에는 일진처럼 행동하고 외모지상주의에 사로잡혀 있었지만 자신이 직접 했던 일들을 스스로 겪고,자신의 잘못을 뉘우친 모습이 너무 기쁘군요.
45	저거 번너클에 커다란애 아님?
45	배뎃은 타이밍!!
45	새로고침하신분 손
45	제가 팔부러져서 아는데 글 하나올립니다팔은 원래 뼈가 두개에요 하나인 사람들의 팔을 우린 흔히 '통뼈'라고 부르죠 보통 팔뼈 두개중 하나만 부러지고 나머지 뼈 하나가 버티는경우가있느네 이런경우는 인대가 늘어나 완전히 힘이 안실립니다 오히려 두개가 다 부러진게 이득이죠 두개가 다부러지면 그냥 ㄱ자 같이 한방에 뽀개지죠 그런경우는 팔은 어깨에있고 부러진팔을 다른팔로잡으면 최소한 어느정도의 힘은 나갑니다(평소 악력의 50%정도 사용가능) 하지만 진성이는 순식간에 팔이 나가므로 웹툰상으로나보나 일자입니다 그말은 뼈 두개중 하나만부러졋단겁니다 게다가 전치 2주~4주정도입니다(두개 다 부러지면 앞에시 말하듯이 회복도 빠릅니다) 근데 진성이가 스트네이트를 2방이나 날렷죠 하지만 같은 복싱 선수들은 최소한 반응은 합니다 게다가 부러진 팔로는 힘도적을뿐더러 때리면 자기가 더 아픕니다 그럼 최소 진성이는 5.6방을 때리고 기절해도 계속 때린거는 진짜 접신입니다 ㄹㅇ 아파요 제가 알아서 압니다
45	ㅋㅋㅋㅋ제우스링 강남건물주라니 저 감옥은 볼만하겠넼ㅋㅋ
45	눌러
46	오늘은 우리나라 국군의 날입니다 한번쯤 군인분들을 생각하는시간이 되시길..
46	베댓아 저기서 바스코나오면 난 이만화안본다 ㅋㅋㅋ그런개막장말도안되는스토리가어딧냐 ㅋㅋㅋ 저기서 뜬금없이 바스코가왜나와 그리고 입대한다고 베댓구걸좀하지마ㅜㅜ
46	태성이 개털리고 형석이 기분좋게 봉투랑 옷이랑 지갑이랑 다 가지고 엄마집갈거같다 손
46	새로고침 한사람 손
46	순식간에 댓글이 페이지가 100이 넘었다. 참 기묘하죠?
46	? 그런데 외모지상주의 아닌 나라가있냐?
46	한태성+한태성=이태성
46	아직 안끝났이야기 1. 홍재열은 누구인가 2. 홍쟁열이 왜 형석이를 도와주는가 3. 미용학과 파란머리 분량이 적은가.ㅋㅋ
46	베뎃 외모지상주의 국가라서 안쓰럽다고 하면서 지는 못생긴 여자랑 안사귄닼ㅋ
46	형석이가 보기좋게이겼으면 좋겠다..첫회부터보면서 이태성 죽이고싶었는데..
46	이태성이 더 돼지임
46	이태성이 지는이유.태성이나 형석이나 스피드가 느려 복싱같은건 불가.그러므로 힘대결인데 힘은 저번 일탈인가?거기서 스쳤는데 베였으니 힘은 형석이가 한숨위일것 같고.(그리고 태성친구들 간단하게 눌렀는데 설마 태성이한테 확 발리겠어요?걔네들도 약간 일진?같은데 차이가 나봤자 엄청나게 큰 차이는 아닐테고..) 주먹같은건 형석이가 눈이 좋아서 잡고 피할수있어서 아마 이길 수 있을 것 같은데요?그리고 지금은 무서워하지만 지면 어머니가 준 돈과 옷도 뺏기는데 설마 공포감때문에 어머니의 돈을 뺏기겠어요?(그리고 마지막으로 지면 그 돈은 이태성이 피씨방이나 그런데서 쓸 텐데..그러면 너무 스케일이 커질듯..)
46	이태성 개맞는다 예상
46	제생각엔 형석이가 질꺼같습니다.왜냐면 그래야 내용이 전개가 자연스럽게 가능할꺼 같네요. 그때 바스코가 형석이 보고 너강하다 잘모르겟으면 나찾아와라 라는 말을 햇는데 형석이가 이태성한테 지고 어머니깨 줄 선물 까지 뺏기고 나서 좌절하고 잇다가 강해져야 겟다고 결심하고 강해지기 위한 훈련을 하고 있는데 그걸본 바스코가 도와준다고 해서 형석이가 바스코한테 훈련을 받는데 훈련을 받다보니 점점 가짜몸의 형석이 같아지고 해서 바스코가 알아차릴듯 하네요. 그러다가 가짜몸은 사라질듯 하고요.
46	마지막 베뎃님 말에 반박합니다형석이가 태성이 이겨도 내용전개 됩니다 형석이가 3넘 다 쳐바르고 기분좋게 선물, 돈 다들고 집에 가겟죠 집에 가서 생각을 하겟죠 만화보시면 형석이가 2놈이 내 시야 아래에 있다... 라고 한게있습니다 거기서 형석이는 어쩌면 나도... 라고 하죠 아마 어쩌면 나도 강햇던게 아닐까 라고 생각햇던게 아닐까 싶네요. 그렇게 형석이는 자신의 원래 몸이 강하단걸 알게되고 그 몸으로 노력하겟죠 왜냐면 가짜몸은 엄마가 알아보지 못하실테니까요 결론은 이기던 지던 형석이는 노력할테고 이야기는 흘러갈거란겁니다
47	재열이 이거 게이끼 슬슬 의심해야댐
47	그녀는 예뻤다 보고 온 사람
47	형석아 이태성 이겨야한다
47	이제형석이에게이태성이라는피카추가생기고재열이라는피카추가교육합니더
47	세종대왕님 한글을 만들어주셔서 감사합니다
47	쟈열이 형석이 사랑하나봨ㅋㅋㅋ
47	제목이 귀향에서 파블오스에 개로빠뀌였다
